,item_name,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
330,Traditional Refried Beans,Teriyaki & Pineapple Chicken Meatballs,Mango Pineapple Salsa,NA,NA,NA
331,Tortilla Strips Restaurant Style,Teriyaki & Pineapple Chicken Meatballs,Mango Pineapple Salsa,Traditional Refried Beans,NA,NA
332,2% Milk,French Vanilla Coffee Creamer,NA,NA,NA,NA
333,Game Day Barbecue Trail Mix,Sweet & Salty Snack Mix,100% Juice No Added Sugar Orange Tangerine,French Vanilla Coffee Creamer,2% Milk,Ruby Red Grapefruit Juice
334,Mini Classic Ice Cream,Pinwheels Fudge & Marshmallow Cookies,Crunchy Corn Sticks,Peanut Butter Cereal,Hannah Max Crunchy Chocolate Chip,Non Fat Black Cherry on the Bottom Greek Yogurt
335,Nectarines,Pinwheels Fudge & Marshmallow Cookies,NA,NA,NA,NA
336,100% Juice No Sugar Added Apple,100% Juice No Added Sugar Orange Tangerine,French Vanilla Coffee Creamer,2% Milk,Ruby Red Grapefruit Juice,Cherubs Heavenly Salad Tomatoes
337,Frosted Mini-Wheats Original Cereal,Peanut Butter Cereal,Crunchy Corn Sticks,Nectarines,Pinwheels Fudge & Marshmallow Cookies,Chunky Peanut Butter High Protein Bar
338,Hannah Max Crunchy Chocolate Chip,Crunchy Corn Sticks,Nectarines,Frosted Mini-Wheats Original Cereal,Pinwheels Fudge & Marshmallow Cookies,Peanut Butter Cereal
339,Crunchy Corn Sticks,Nectarines,Pinwheels Fudge & Marshmallow Cookies,Peach on the Bottom Nonfat Greek Yogurt,Chunky Peanut Butter High Protein Bar,Organic 2% Reduced Fat Milk
340,Peanut Butter Cereal,Nectarines,Pinwheels Fudge & Marshmallow Cookies,Crunchy Corn Sticks,Peach on the Bottom Nonfat Greek Yogurt,Chunky Peanut Butter High Protein Bar
341,Chocolate Caramel Cashew Trail Mix,100% Juice No Added Sugar Orange Tangerine,Game Day Barbecue Trail Mix,French Vanilla Coffee Creamer,2% Milk,Ruby Red Grapefruit Juice
342,Cheddar Cheese Condensed Soup,2% Milk,Ruby Red Grapefruit Juice,100% Juice No Sugar Added Apple,French Vanilla Coffee Creamer,100% Juice No Added Sugar Orange Tangerine
343,All Natural Boneless Skinless Chicken Breasts,100% Juice No Added Sugar Orange Tangerine,French Vanilla Coffee Creamer,2% Milk,Ruby Red Grapefruit Juice,Cheddar Cheese Condensed Soup
344,Sweet & Salty Snack Mix,100% Juice No Added Sugar Orange Tangerine,French Vanilla Coffee Creamer,2% Milk,Ruby Red Grapefruit Juice,Cheddar Cheese Condensed Soup
345,Sunrise Grilled Steak and Eggs Canine Cuisine Wet Dog Food,Chocolate Caramel Cashew Trail Mix,100% Juice No Added Sugar Orange Tangerine,Game Day Barbecue Trail Mix,French Vanilla Coffee Creamer,2% Milk
346,Shells & White Cheddar Pasta,Classic Pork Links,Blackeye Peas,Roasted Garlic Herb Italian Sauce,Parmesan Cheese Angel Hair Pasta Mix,Sweet & Salty Nut Almond Granola Bars
347,Jumbo Franks,Sliced Cooked Ham,Classic Pork Links,Sweet & Salty Nut Almond Granola Bars,Blackeye Peas,Roasted Garlic Herb Italian Sauce
348,Blackeye Peas,Sliced Cooked Ham,Sweet & Salty Nut Almond Granola Bars,Premium Italian Bread,Fresh CA Grown Eggs,Green Bell Pepper
349,Classic Pork Links,Sliced Cooked Ham,Sweet & Salty Nut Almond Granola Bars,Blackeye Peas,Green Peas,Premium Italian Bread
350,Fat Free Plain Yoghurt,Sliced Cooked Ham,Classic Pork Links,Sweet & Salty Nut Almond Granola Bars,Blackeye Peas,Roasted Garlic Herb Italian Sauce
351,Delifresh Combos The Honey Smoked Turkey Breast Honey Ham,Chewy Granola Bars Variety Pack,37% Less Sodium Soy Sauce,Ultra Apple Blossom Antibacterial Dish Liquid,Crunchy Taco Shells,Taco Seasoning Mix Original
352,Parmesan Cheese Angel Hair Pasta Mix,Roasted Garlic Herb Italian Sauce,Sliced Cooked Ham,Classic Pork Links,Sweet & Salty Nut Almond Granola Bars,Blackeye Peas
353,Sweetened Corn & Oat Cereal,Taco Seasoning Mix Original,Chewy Granola Bars Variety Pack,NA,NA,NA
354,100% Pineapple Juice,Taco Seasoning Mix Original,Sweetened Corn & Oat Cereal,Chewy Granola Bars Variety Pack,NA,NA
355,Crunchy Taco Shells,Taco Seasoning Mix Original,Sweetened Corn & Oat Cereal,100% Pineapple Juice,Chewy Granola Bars Variety Pack,NA
356,Roasted Garlic Herb Italian Sauce,Sliced Cooked Ham,Classic Pork Links,Sweet & Salty Nut Almond Granola Bars,Blackeye Peas,Premium Italian Bread
357,Organic Baby Kale,Apricots,Globe Eggplant,"Sesame Oil, Pure",Pear Kiwi & Kale Baby Food,Pitted Prunes
358,"Basil, Asiago & Pine Nut Pesto Ravioli",Organic Maple & Onion Baked Beans,Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,Cilantro Pesto,Balsamic Reduction Traditional Balsamic,Pitted Prunes
359,Balsamic Reduction Traditional Balsamic,Organic Maple & Onion Baked Beans,Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,Cilantro Pesto,Apricots,Organic Stage 4 Spinach Mango & Pear Baby Food
360,Coconut Milk INon Dairy Frozen Dessert Coconut,"Dog Snacks, Medium",Carrot and Celery Sticks,Steamfresh Premium Selects Broccoli Florets,Chicken Pot Pie,Small Hass Avocado
361,Sliced Cooked Ham,Sweet & Salty Nut Almond Granola Bars,Premium Italian Bread,Fresh CA Grown Eggs,Green Bell Pepper,2% Reduced Fat Milk
362,"Dog Snacks, Medium",Carrot and Celery Sticks,Steamfresh Premium Selects Broccoli Florets,Chicken Pot Pie,Small Hass Avocado,Baby Spinach
363,Spicy Tuna Avocado,Carrot and Celery Sticks,Steamfresh Premium Selects Broccoli Florets,"Dog Snacks, Medium",Coconut Milk INon Dairy Frozen Dessert Coconut,Baby Spinach
364,Steamfresh Premium Selects Broccoli Florets,Carrot and Celery Sticks,Chicken Pot Pie,Small Hass Avocado,Baby Spinach,Organic Tomato Cluster
365,Olive Hummus,Basil Pesto,Organic Romaine Lettuce,Organic Boneless Skinless Chicken Breast,Shredded Mozzarella,2% Reduced Fat Milk
366,Taco Seasoning Mix Original,Chewy Granola Bars Variety Pack,NA,NA,NA,NA
367,Organic Light Agave Nectar,Spaghetti  No 12,Mini Blueberry Muffins,Natural Chicken & Sage Breakfast Sausage,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Cinnamon Raisin Brioche
368,White Giant Paper Towel Rolls,Natural Pure Sparkling Water,Lemon Sparkling Water,Lactose Free 2% Milk,Whole Vitamin D Milk,Lemon-Lime Fridge Pack Soda
369,Earl Grey  Black Tea Blend,Natural Pure Sparkling Water,Chunky Chocolate Chip Cookies,Lemon Sparkling Water,Lactose Free 2% Milk,Whole Vitamin D Milk
370,Lactose Free 2% Milk,Natural Pure Sparkling Water,Chunky Chocolate Chip Cookies,Lemon Sparkling Water,Lemon-Lime Fridge Pack Soda,Coke Classic
371,Organic Green Tea,White Giant Paper Towel Rolls,Chocolate Chip Granola,Natural Pure Sparkling Water,Chunky Chocolate Chip Cookies,Lemon Sparkling Water
372,Grape-Nuts Cereal,Spanish Style Yellow Rice,Masa Harina Golden Corn Flour,Red Mango,NA,NA
373,Turkey Pepperoni Slices,Masa Harina Golden Corn Flour,Spanish Style Yellow Rice,Grape-Nuts Cereal,Red Mango,NA
374,Organic Hearty Split Pea & Uncured Ham Soup,Organic Cream Of Chicken Condensed Soup,Just Mayo,Broccoli Crown,Banana,NA
375,Colby Jack Cheese,Organic Cream Of Chicken Condensed Soup,Just Mayo,Organic Hearty Split Pea & Uncured Ham Soup,Broccoli Crown,Banana
376,Just Mayo,Organic Cream Of Chicken Condensed Soup,Broccoli Crown,NA,NA,NA
377,Coke Classic,Lemon-Lime Fridge Pack Soda,NA,NA,NA,NA
378,Chocolate Chip Granola,Lemon-Lime Fridge Pack Soda,Coke Classic,NA,NA,NA
379,37% Less Sodium Soy Sauce,Taco Seasoning Mix Original,Sweetened Corn & Oat Cereal,100% Pineapple Juice,Crunchy Taco Shells,Ultra Apple Blossom Antibacterial Dish Liquid
380,Ultra Apple Blossom Antibacterial Dish Liquid,Taco Seasoning Mix Original,Sweetened Corn & Oat Cereal,100% Pineapple Juice,Crunchy Taco Shells,Chewy Granola Bars Variety Pack
381,Natural Pure Sparkling Water,Chocolate Chip Granola,Coke Classic,Lemon-Lime Fridge Pack Soda,NA,NA
382,Whole Vitamin D Milk,Chocolate Chip Granola,Natural Pure Sparkling Water,Chunky Chocolate Chip Cookies,Lemon Sparkling Water,Lactose Free 2% Milk
383,Chunky Chocolate Chip Cookies,Natural Pure Sparkling Water,Lemon-Lime Fridge Pack Soda,Coke Classic,Chocolate Chip Granola,Crunchy Oats 'n Honey Granola
384,Lemon Sparkling Water,Chocolate Chip Granola,Natural Pure Sparkling Water,Chunky Chocolate Chip Cookies,Lemon-Lime Fridge Pack Soda,Coke Classic
385,Greek Feta Cheese,ZBar Organic Chocolate Brownie Energy Snack,Peanut Butter Bar,Cinnamon Raisin Brioche,Mini Blueberry Muffins,Natural Chicken & Sage Breakfast Sausage
386,Annie's® Homegrown Gluten Free Double Chocolate Chip Granola,Mini Blueberry Muffins,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Organic Light Agave Nectar,Organic Fresh Squeezed Orange Juice,Single Serve Crispy Wheat Crackers
387,Cinnamon Raisin Brioche,Mini Blueberry Muffins,Natural Chicken & Sage Breakfast Sausage,Total 2% Lowfat Greek Strained Yogurt With Blueberry,100% Pure Apple Juice,Mild Cheddar Cheese Sticks
388,Peanut Butter Bar,Mini Blueberry Muffins,Natural Chicken & Sage Breakfast Sausage,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Cinnamon Raisin Brioche,100% Pure Apple Juice
389,Cocoa Bunnies Whole Grain Cereal,Single Serve Crispy Wheat Crackers,Organic Fresh Squeezed Orange Juice,Lettuce Medley,Mini Blueberry Muffins,Natural Chicken & Sage Breakfast Sausage
390,ZBar Organic Chocolate Brownie Energy Snack,Mini Blueberry Muffins,Natural Chicken & Sage Breakfast Sausage,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Cinnamon Raisin Brioche,Peanut Butter Bar
391,Crispy Cheddar Crackers,Mini Blueberry Muffins,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Organic Light Agave Nectar,Organic Fresh Squeezed Orange Juice,Single Serve Crispy Wheat Crackers
392,Lettuce Medley,Spaghetti  No 12,Peanut Butter Bar,Cinnamon Raisin Brioche,Mini Blueberry Muffins,Natural Chicken & Sage Breakfast Sausage
393,Spaghetti  No 12,Cinnamon Raisin Brioche,Natural Chicken & Sage Breakfast Sausage,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Peanut Butter Bar,ZBar Organic Chocolate Brownie Energy Snack
394,"Sesame Oil, Pure",Organic Stage 4 Spinach Mango & Pear Baby Food,Apricots,Globe Eggplant,Ataulfo Mango,Organic Fat Free Milk
395,Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,Globe Eggplant,"Sesame Oil, Pure",Pear Kiwi & Kale Baby Food,Organic Stage 4 Spinach Mango & Pear Baby Food,Apricots
396,Cilantro Pesto,Organic Maple & Onion Baked Beans,Apricots,Organic Stage 4 Spinach Mango & Pear Baby Food,Globe Eggplant,"Sesame Oil, Pure"
397,Organic Maple & Onion Baked Beans,Apricots,Organic Stage 4 Spinach Mango & Pear Baby Food,Globe Eggplant,"Sesame Oil, Pure",Ataulfo Mango
398,Organic Stage 4 Spinach Mango & Pear Baby Food,Apricots,Organic Fat Free Milk,Watermelon Chunks,Organic Bosc Pear,Red Vine Tomato
399,Globe Eggplant,Apricots,Organic Stage 4 Spinach Mango & Pear Baby Food,Ataulfo Mango,Watermelon Chunks,Organic Fat Free Milk
400,Pitted Prunes,Apricots,Organic Maple & Onion Baked Beans,Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,Cilantro Pesto,Balsamic Reduction Traditional Balsamic
401,Pear Kiwi & Kale Baby Food,"Sesame Oil, Pure",Organic Maple & Onion Baked Beans,Apricots,Organic Stage 4 Spinach Mango & Pear Baby Food,Globe Eggplant
402,Organic Avocados Hass Variety,Natural Black Cherry Gels Gelatin Free Snacks,Organic Romaine,Roma Tomato,Fresh Cauliflower,Organic Raspberries
403,Boneless And Skinless Chicken Breast,Provolone Slices,Vine Ripe Tomatoes,Large Grade AA Eggs,Butter Top White Bread,Broccoli Florets
404,"Deli Fresh Honey Smoked Turkey Breast, 98% Fat Free, Gluten Free",Butter Top White Bread,Large Grade AA Eggs,Provolone Slices,Vine Ripe Tomatoes,Boneless And Skinless Chicken Breast
405,Organic Promise Strawberry Fields Cereal,Organic Spaghetti Squash,Ready-to-Bake 9 Inch Pie Crusts,EnviroKidz Gluten Free & Wheat Free Gorilla Munch Corn Puff Cereal,Large Grapefruit,Organic Thompson Seedless Raisins
406,Organic Spaghetti Squash,Ready-to-Bake 9 Inch Pie Crusts,Large Grapefruit,Low Fat Vanilla Yogurt,Unsalted Butter,Organic Zucchini
407,Organic Traditional Plain Kefir,Cold-Pressed Organic Grapefruit,Organic Raspberries,NA,NA,NA
408,Plain Cultured Goat Milk Kefir,Cold-Pressed Organic Grapefruit,Organic Traditional Plain Kefir,Organic Raspberries,NA,NA
409,Natural Chicken & Sage Breakfast Sausage,Mini Blueberry Muffins,Organic Raspberries,NA,NA,NA
410,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Mini Blueberry Muffins,Natural Chicken & Sage Breakfast Sausage,100% Pure Apple Juice,Organic Raspberries,NA
411,Vine Ripe Tomatoes,Provolone Slices,Large Grade AA Eggs,Butter Top White Bread,Broccoli Florets,Iceberg Lettuce
412,Original Very Emollient Body Lotion,Organic Spaghetti Squash,Organic Promise Strawberry Fields Cereal,Cinnamon Raisin Bread,Ready-to-Bake 9 Inch Pie Crusts,EnviroKidz Gluten Free & Wheat Free Gorilla Munch Corn Puff Cereal
413,Thick & Chunky Salsa,Natural Black Cherry Gels Gelatin Free Snacks,Organic Avocados Hass Variety,Organic Romaine,Roma Tomato,Fresh Cauliflower
414,Brown Rice Pasta Spirals,Natural Black Cherry Gels Gelatin Free Snacks,Organic Avocados Hass Variety,Thick & Chunky Salsa,Rice Thins Brown Rice Snack Crackers,Organic Romaine
415,Cinnamon Raisin Bread,Organic Promise Strawberry Fields Cereal,Organic Spaghetti Squash,Ready-to-Bake 9 Inch Pie Crusts,EnviroKidz Gluten Free & Wheat Free Gorilla Munch Corn Puff Cereal,Organic Thompson Seedless Raisins
416,Large Grade AA Eggs,Butter Top White Bread,Broccoli Florets,Iceberg Lettuce,2% Reduced Fat Milk,Banana
417,Provolone Slices,Butter Top White Bread,Large Grade AA Eggs,Broccoli Florets,Iceberg Lettuce,2% Reduced Fat Milk
418,Natural Chicken & Maple Breakfast Sausage Patty,Plain Goat Milk Yogurt,Organic Free Range Large Grade A Brown Eggs,Wild Sockeye Salmon,Purity Farms Ghee Clarified Butter,Organic Muenster Cheese
419,Pure Vanilla Extract,Milk Chocolate Nutrition Shake,"Chewy Candies, Flavored, Fierce Cinnamon",Challah Bread,Organic Milk Whole,Organic Berry Basket Blend
420,Trail Mix Chewy Granola,Organic Berry Basket Blend,Lower Sugar Instant Oatmeal  Variety,Buttery Spread Light With Flaxseed Oil,Original Baked  Potato Chips,Maximum Strength Original Paste Diaper Rash Ointment
421,Challah Bread,Organic Milk Whole,Organic Berry Basket Blend,Lower Sugar Instant Oatmeal  Variety,Buttery Spread Light With Flaxseed Oil,Original Baked  Potato Chips
422,Fine Granulated Sugar,Organic Milk Whole,Challah Bread,Pure Almond Extract,Pure Vanilla Extract,Organic Berry Basket Blend
423,Organic Cream Cheese Bar,Organic Grade A Free Range Large Brown Eggs,Roasted & Salted Almonds,Organic Avocado,NA,NA
424,Pure Almond Extract,Organic Berry Basket Blend,Lower Sugar Instant Oatmeal  Variety,Buttery Spread Light With Flaxseed Oil,Original Baked  Potato Chips,Maximum Strength Original Paste Diaper Rash Ointment
425,Flour,Head-to-Toe Baby Wash,Buttery Spread Light With Flaxseed Oil,"Chewy Candies, Flavored, Fierce Cinnamon",Challah Bread,Trail Mix Chewy Granola
426,With Cartridges Papaya & Pearl Complex Razor,Organic Milk Whole,"Chewy Candies, Flavored, Fierce Cinnamon",Flour,Head-to-Toe Baby Wash,Fine Granulated Sugar
427,Head-to-Toe Baby Wash,Organic Milk Whole,Trail Mix Chewy Granola,Pure Almond Extract,Pure Vanilla Extract,Milk Chocolate Nutrition Shake
428,Flip™ Low-Fat Almond Coco Loco Lowfat Greek Yogurt,Top Chef Crustless Chicken Pot Pie,Total 0% Nonfat Greek Yogurt,NA,NA,NA
429,Complete Original Pancake & Waffle Mix,Original English Muffins,Pure Maple Syrup,Hollandaise Sauce Mix,Hardwood SmokedCenter Cut Original Bacon,"Canadian Bacon, Uncured"
430,"Canadian Bacon, Uncured",Hardwood SmokedCenter Cut Original Bacon,Hollandaise Sauce Mix,NA,NA,NA
431,Hollandaise Sauce Mix,Hardwood SmokedCenter Cut Original Bacon,NA,NA,NA,NA
432,Chunky Salsa Medium,Light,NA,NA,NA,NA
433,"Handmade Vodka From Austin, Texas",Light,Chunky Salsa Medium,NA,NA,NA
434,Hampshire 100% Natural Sour Cream,Light,Chunky Salsa Medium,Salsa Con Queso Medium Dip,G Series Lime Cucumber Sports Drink,Lemon Lime Thirst Quencher
435,Salsa Con Queso Medium Dip,Light,Chunky Salsa Medium,"Handmade Vodka From Austin, Texas",Soda,NA
436,G Series Lime Cucumber Sports Drink,Light,Chunky Salsa Medium,Salsa Con Queso Medium Dip,"Handmade Vodka From Austin, Texas",Soda
437,Easy Mac Original Flavor Macaroni & Cheese Dinner,Oat Revolution! Thick & Hearty Apples & Cinnamon Instant Oatmeal,Top Chef Crustless Chicken Pot Pie,Flip™ Low-Fat Almond Coco Loco Lowfat Greek Yogurt,Cherubs Heavenly Salad Tomatoes,Total 0% Nonfat Greek Yogurt
438,Greek Plain Whole Milk Yogurt,Pure Maple Syrup,Complete Original Pancake & Waffle Mix,Original English Muffins,Hollandaise Sauce Mix,Hardwood SmokedCenter Cut Original Bacon
439,Cheesecloth,"Canadian Bacon, Uncured",Greek Plain Whole Milk Yogurt,Hardwood SmokedCenter Cut Original Bacon,Hollandaise Sauce Mix,Original English Muffins
440,Original English Muffins,"Canadian Bacon, Uncured",Hardwood SmokedCenter Cut Original Bacon,Hollandaise Sauce Mix,NA,NA
441,Pure Maple Syrup,"Canadian Bacon, Uncured",Hardwood SmokedCenter Cut Original Bacon,Hollandaise Sauce Mix,Original English Muffins,NA
442,Lemon Lime Thirst Quencher,Light,Chunky Salsa Medium,Salsa Con Queso Medium Dip,G Series Lime Cucumber Sports Drink,"Handmade Vodka From Austin, Texas"
443,Unprocessed American Singles Colby-Style Cheese,Naturals Chicken Nuggets,Hair Bender Whole Bean Coffee,Organic Mini Homestyle Waffles,Organic Whole Milk,NA
444,Organic Mesa Sunrise Cereal,Hair Bender Whole Bean Coffee,Naturals Chicken Nuggets,Unprocessed American Singles Colby-Style Cheese,Organic Mini Homestyle Waffles,Organic Whole Milk
445,Corn Meal Pizza Crust,Hair Bender Whole Bean Coffee,Naturals Chicken Nuggets,Unprocessed American Singles Colby-Style Cheese,Organic Mesa Sunrise Cereal,Total Greek Strained Yogurt
446,Sriracha Chili Sauce,Hair Bender Whole Bean Coffee,Naturals Chicken Nuggets,Unprocessed American Singles Colby-Style Cheese,Organic Mesa Sunrise Cereal,Corn Meal Pizza Crust
447,Oat Revolution! Thick & Hearty Apples & Cinnamon Instant Oatmeal,Top Chef Crustless Chicken Pot Pie,Flip™ Low-Fat Almond Coco Loco Lowfat Greek Yogurt,Cherubs Heavenly Salad Tomatoes,Total 0% Nonfat Greek Yogurt,NA
448,Naturals Chicken Nuggets,Hair Bender Whole Bean Coffee,Organic Mini Homestyle Waffles,Organic Whole Milk,NA,NA
449,Red Delicious Apples,Glass Cleaner,Sparkling Water,Gourmet Tomato Medley,Roasted Pine Nut Hummus,Hass Avocados
450,Diet Tonic Water,G Series Lime Cucumber Sports Drink,Light,Chunky Salsa Medium,Salsa Con Queso Medium Dip,Lemon Lime Thirst Quencher
451,New York Extra Sharp Cheddar,Organic Celery Hearts,Original Almondmilk,Granulated Sugar,Soda,Spring Water
452,Ginger Dressing,Variety Diet Tea,Seltzer Water,Gourmet Tomato Medley,Granny Smith Apples,Soda
453,Migraine Caplets,Variety Diet Tea,Seltzer Water,Ginger Dressing,Gourmet Tomato Medley,Non Fat Greek Yogurt
454,Seltzer Water,Variety Diet Tea,NA,NA,NA,NA
455,"Pasta 'n Sauce, Elmo, Organic, with Carrots & Broccoli, 123 Sesame Street",Elmo Mac 'n Cheese With Carrots & Broccoli,Original No Pulp 100% Florida Orange Juice,White Sandwich Bread,Honey Greek Yogurt,Bicolor Sweet Corn
456,Wild Berry Low Fat Clusters & Flakes,Original No Pulp 100% Florida Orange Juice,Elmo Mac 'n Cheese With Carrots & Broccoli,"Pasta 'n Sauce, Elmo, Organic, with Carrots & Broccoli, 123 Sesame Street",White Sandwich Bread,Organic Cottage Cheese
457,66 Calorie Unfiltered Ginger Ale,White Sandwich Bread,Original No Pulp 100% Florida Orange Juice,Elmo Mac 'n Cheese With Carrots & Broccoli,"Pasta 'n Sauce, Elmo, Organic, with Carrots & Broccoli, 123 Sesame Street",Wild Berry Low Fat Clusters & Flakes
458,Pretzel Crisps Original Deli Style Pretzel Crackers,White Sandwich Bread,Original No Pulp 100% Florida Orange Juice,Elmo Mac 'n Cheese With Carrots & Broccoli,"Pasta 'n Sauce, Elmo, Organic, with Carrots & Broccoli, 123 Sesame Street",Wild Berry Low Fat Clusters & Flakes
459,Waffle Cut Sweet Potato Seasoned Fries,White Sandwich Bread,Elmo Mac 'n Cheese With Carrots & Broccoli,"Pasta 'n Sauce, Elmo, Organic, with Carrots & Broccoli, 123 Sesame Street",Wild Berry Low Fat Clusters & Flakes,66 Calorie Unfiltered Ginger Ale
460,ALMONDBREEZE UNSWEETENED,Flour,Lower Sugar Instant Oatmeal  Variety,Maximum Strength Original Paste Diaper Rash Ointment,Milk Chocolate Nutrition Shake,"Chewy Candies, Flavored, Fierce Cinnamon"
461,Organic Milk Whole,"Chewy Candies, Flavored, Fierce Cinnamon",Whole Milk,Banana,NA,NA
462,Natural Lime Flavor Sparkling Mineral Water,Turkey Pot Pie,Very Berry Flavor Sparkling Mineral Water,Pitted Kalamata Olives,Organic Seaweed Gomasio,Banana
463,Very Berry Flavor Sparkling Mineral Water,Turkey Pot Pie,Pitted Kalamata Olives,Organic Seaweed Gomasio,Banana,NA
464,Pitted Kalamata Olives,Turkey Pot Pie,Organic Seaweed Gomasio,NA,NA,NA
465,Ezekiel 4:9 Bread Organic Sprouted Whole Grain,Lactose Free Plain Kefir,Yellow Grape Tomatoes,Country Dijon Mustard,Organic Romaine Lettuce,Roasted Turkey
466,Yellow Grape Tomatoes,Lactose Free Plain Kefir,Country Dijon Mustard,Roasted Turkey,NA,NA
467,Petite Brussels Sprouts,Fat Free Blueberry Yogurt,Organic Wild Berry Fruit Spread,Part Skim Mozzarella Cheese,Multi-Seed Original Crackers,"The \""World's Best\"" Veggie Burger"
468,Organic Baby Kale Mix,Watercress Package,Limes,Orange Bell Pepper,Organic Cucumber,Organic Avocado
469,Organic Santa Fe Style Chicken Soup,Watercress Package,Organic Baby Kale Mix,Orange Bell Pepper,Limes,Organic Cucumber
470,Icelandic Style Fat Free Plain Yogurt,Organic Berry Blend,Granny Smith Apples,Banana,NA,NA
471,Organic Extra Thick Rolled Oats,Organic Berry Blend,Icelandic Style Fat Free Plain Yogurt,Granny Smith Apples,Fresh Ginger Root,Banana
472,Crushed Red Chili Pepper,Organic Berry Blend,Icelandic Style Fat Free Plain Yogurt,Organic Extra Thick Rolled Oats,Organic Extra Firm Tofu,Michigan Organic Kale
473,Organic Wild Berry Fruit Spread,Fat Free Blueberry Yogurt,Part Skim Mozzarella Cheese,Multi-Seed Original Crackers,"The \""World's Best\"" Veggie Burger",Sliced Baby Bella Mushrooms
474,Crispy Seasoned Potato Puffs with Roasted Garlic & Cracked Pepper,Waffle Cut Sweet Potato Seasoned Fries,Original No Pulp 100% Florida Orange Juice,Elmo Mac 'n Cheese With Carrots & Broccoli,"Pasta 'n Sauce, Elmo, Organic, with Carrots & Broccoli, 123 Sesame Street",Wild Berry Low Fat Clusters & Flakes
475,Original No Pulp 100% Florida Orange Juice,White Sandwich Bread,NA,NA,NA,NA
476,Elmo Mac 'n Cheese With Carrots & Broccoli,White Sandwich Bread,Original No Pulp 100% Florida Orange Juice,NA,NA,NA
477,Turkey Pot Pie,Organic Seaweed Gomasio,NA,NA,NA,NA
478,Part Skim Mozzarella Cheese,Multi-Seed Original Crackers,Sliced Baby Bella Mushrooms,Reduced Fat Milk 100% Lactose Free,Banana,NA
479,Fat Free Blueberry Yogurt,Multi-Seed Original Crackers,Part Skim Mozzarella Cheese,"The \""World's Best\"" Veggie Burger",Sliced Baby Bella Mushrooms,Reduced Fat Milk 100% Lactose Free
480,60% Cacao Bittersweet Premium Baking Chips,Buttery Spread Light With Flaxseed Oil,"Chewy Candies, Flavored, Fierce Cinnamon",Unsweetened Cocoa Powder,With Cartridges Papaya & Pearl Complex Razor,Flour
481,Original Baked  Potato Chips,Organic Milk Whole,Organic Berry Basket Blend,Lower Sugar Instant Oatmeal  Variety,Buttery Spread Light With Flaxseed Oil,"Chewy Candies, Flavored, Fierce Cinnamon"
482,Maximum Strength Original Paste Diaper Rash Ointment,Organic Milk Whole,Organic Berry Basket Blend,Lower Sugar Instant Oatmeal  Variety,Buttery Spread Light With Flaxseed Oil,Original Baked  Potato Chips
483,Milk Chocolate Nutrition Shake,Organic Milk Whole,"Chewy Candies, Flavored, Fierce Cinnamon",Extra Ginger Brew Jamaican Style Ginger Beer,100% Whole Wheat Bread,Whole Milk
484,Buttery Spread Light With Flaxseed Oil,Milk Chocolate Nutrition Shake,"Chewy Candies, Flavored, Fierce Cinnamon",Lower Sugar Instant Oatmeal  Variety,Organic Berry Basket Blend,Organic Milk Whole
485,Organic Berry Basket Blend,Organic Milk Whole,"Chewy Candies, Flavored, Fierce Cinnamon",Milk Chocolate Nutrition Shake,Extra Ginger Brew Jamaican Style Ginger Beer,100% Whole Wheat Bread
486,Lower Sugar Instant Oatmeal  Variety,Organic Milk Whole,Organic Berry Basket Blend,"Chewy Candies, Flavored, Fierce Cinnamon",Milk Chocolate Nutrition Shake,Extra Ginger Brew Jamaican Style Ginger Beer
487,Unsweetened Cocoa Powder,Milk Chocolate Nutrition Shake,Trail Mix Chewy Granola,Original Baked  Potato Chips,Buttery Spread Light With Flaxseed Oil,Lower Sugar Instant Oatmeal  Variety
488,Mixed Fruit,Ground Veal,Free & Gentle Fabric Softener Dryer Sheets,Mexican Kitchen Style Tortilla Chips,Multigrain Bread,13 Gallon Tall Kitchen Drawstring Bags
489,Pistachio Pistachio Ice Cream,Ground Veal,Uncured Italian Dry Salame,Multigrain Bread,Coffee Toffee Bar Crunch Ice Cream,Mixed Fruit
490,13 Gallon Tall Kitchen Drawstring Bags,Dijon Honey Mustard Dressing,Butter Snap Pretzels,"Organic, Whole Bean, Espresso Roast Coffee",Free & Gentle Fabric Softener Dryer Sheets,Uncured Italian Dry Salame
491,Butter Snap Pretzels,Lightly Salted Chips,Multigrain Bread,Mexican Kitchen Style Tortilla Chips,Organic Uncured Sliced Black Forest Ham,Organic Whole Milk French Vanilla Yogurt
492,Coffee Toffee Bar Crunch Ice Cream,Lite Balsamic Dressing,Mexican Kitchen Style Tortilla Chips,Dried Strawberries,Butter Snap Pretzels,Lightly Salted Chips
